Size,Manufacturer,Type,Footage,Blades,Cutter size,WOB,ROP,Mud Weight,RPM,Torque
36,A,Tricone,82,3,0,13,10.1,8.5,80,5
26,A,Tricone,709,3,0,78,11.29,8.5,73,11
26,A,Tricone,547,3,0,78,11.29,8.5,73,11
26,A,Tricone,438,3,0,55,14.32,9.6,168,13
26,C,Tricone,320,3,0,55,14.32,9.6,168,13
26,C,Tricone,81,3,0,55,14.32,9.6,168,13
18.5,C,PDC,1166,8,19,12,32.03,9.8,136,15
18.5,A,PDC,1113,8,19,35,34.15,9.8,144,15
18.5,A,PDC,870,8,19,35,34.15,9.8,144,15
18.5,A,PDC,304,6,19,25,17.59,9.8,144,14
18.5,C,PDC,127,6,19,25,17.59,9.8,144,14
18.5,C,PDC,597,6,19,25,9,10,140,14
14.75,C,Tricone,4,3,0,25,0.5,10.5,80,7
14.75,C,PDC,253,9,19,25,40.39,10.8,100,15
14.75,C,PDC,1924,9,19,25,40.39,10.8,100,15
14.75,C,PDC,1604,9,19,40,23.6,11.1,140,14
14.75,C,PDC,599,9,19,40,23.6,11.1,140,14
14.75,C,PDC,93,9,19,40,23.6,11.1,140,14
14.75,C,PDC,53,9,19,32,19.02,11.8,130,17
14.75,C,PDC,1278,9,19,32,19.02,11.8,130,17
14.75,C,PDC,21,9,19,32,19.02,11.8,130,17
10.625,C,PDC,148,8,13,47,3.5,11.9,100,13.37
10.625,C,PDC,36,9,16,45,1.5,9.5,92,12
10.625,A,Impregnated,131,18,8,20,1.85,9.5,194,10.7
10.625,C,PDC,160,8,13,30,1.63,9.5,80,12
10.625,D,PDC,138,9,13,30,1.3,9.5,120,10
10.625,A,PDC,11,9,13,30,1.3,9.5,120,10
10.625,A,PDC,415,7,16,35,4.1,9.5,120,10.5
10.625,A,PDC,245,7,16,25,7.2,9.7,100,13
10.625,C,PDC,23,7,16,25,7.2,9.7,100,13
8.5,C,PDC,7,9,13,45,8.8,9.5,92,9.5
8.5,A,PDC,300,8,13,30,3.65,8.2,100,13
8.5,C,PDC,76,8,13,26,3.38,8.2,120,15
8.5,C,PDC,144,8,13,26,3.38,8.2,120,15
8.5,C,PDC,29,8,13,26,2.79,8.2,95,15
8.5,D,PDC,214,8,13,26,2.79,8.2,95,15
8.5,D,PDC,76,8,13,22,2.8,8.2,120,15
8.5,C,PDC,20,8,13,22,2.8,8.2,120,15
6,C,PDC,13,7,13,20,13,9.8,68,9.3
6,A,PDC,9,7,13,10,4.24,9.8,100,9.6
6,A,PDC,169,7,13,16,8.3,9.8,120,10.1
6,A,PDC,348,7,13,16,8.3,9.8,120,10.1
6,A,PDC,64,7,13,16,8.3,9.8,120,10.1
6,A,PDC,102,6,13,16,2.7,10.6,100,11
6,C,Impregnated,150,12,8,6,1.67,10.6,50,9.95
6,C,Impregnated,254,12,5,7,3.44,10.6,212,10.1
6,D,PDC,74,7,11,60,4,10.6,185,10.56
6,C,PDC,116,7,11,60,4,10.6,185,10.56
6,C,PDC,21,7,11,60,4,10.6,185,10.56
4.125,C,PDC,415,7,11,10,6.24,10.6,146,10.4
4.125,A,PDC,61,7,11,10,6.24,10.6,146,10.4
4.125,A,PDC,11,6,13,10,4.58,10.6,80,11.6
4.125,D,PDC,74,5,11,4,1.28,8.7,296,10.2
4.125,C,PDC,38,8,11,4.5,1.36,8.7,270,10.12
4.125,C,PDC,160,5,11,7.5,1.6,8.7,287,11.54
4.125,C,PDC,38,5,11,4,2.2,8.7,285,11.52
4.125,C,PDC,48,5,11,4,2.1,8.75,296,11.54
4.125,C,PDC,32,5,11,4,2.1,8.75,296,11.54
26,C,Tricone,272,3,0,50,10.76,8.6,90,15
26,C,Tricone,296,3,0,50,10.76,8.6,90,15
26,C,PDC,60,8,19,15,9.87,8.9,130,10
26,D,PDC,519,8,19,15,9.87,8.9,130,10
26,D,PDC,173,8,19,15,9.87,8.9,130,10
26,D,PDC,28,8,19,15,9.87,8.9,130,10
18.5,D,PDC,2118,8,19,50,19.32,9.3,140,14
18.5,A,PDC,114,8,19,50,19.32,9.3,140,14
18.5,A,PDC,9,8,19,50,19.32,9.3,140,14
18.5,A,PDC,178,8,16,50,6.4,9.3,120,14
18.5,A,Tricone,219,3,0,40,4.13,9.3,120,6
18.5,D,Tricone,378,3,0,50,4.43,9.4,95,7
18.5,D,Tricone,172,3,0,53,4.28,9.5,110,7
18.5,C,PDC,521,8,16,40,6,9.6,150,16
18.5,A,Tricone,234,3,0,55,3.13,9.8,128,7
18.5,D,PDC,274,8,16,60,4.16,9.8,140,12
18.5,C,PDC,37,8,16,60,4.16,9.8,140,12
18.5,C,PDC,396,7,19,62,7.2,9.9,140,15
14.75,B,PDC,1121,9,19,55,9.05,10.6,155,14
14.75,C,PDC,14,9,19,55,9.05,10.6,155,14
14.75,C,PDC,230,8,16,50,4.06,11.2,145,15
14.75,C,Tricone,154,3,0,60,1.57,11.3,55,11
14.75,C,PDC,286,8,13,40,3.49,11.3,145,15
14.75,B,PDC,304,6,16,50,2.26,11.3,150,15
14.75,D,PDC,348,10,16,42,2.43,11.3,155,15
14.75,A,PDC,105,9,19,40,12.5,11.3,160,18
14.75,C,PDC,1099,9,19,40,12.5,11.3,160,18
14.75,C,PDC,123,9,19,40,12.5,11.3,160,18
14.75,C,PDC,225,6,19,30,14,11.3,140,14
14.75,D,PDC,94,6,19,30,14,11.3,140,14
14.75,D,PDC,721,6,19,30,14,11.3,140,14
14.75,D,PDC,413,9,19,50,5.41,11.7,140,22
14.75,C,PDC,727,7,19,30,8.98,11.7,120,22
14.75,C,PDC,168,7,19,30,8.98,11.7,120,22
14.75,C,PDC,17,7,19,18,9.44,11.8,120,18
10.625,C,PDC,130,7,16,20,50,12,50,19
10.625,B,PDC,320,7,16,30,18.78,12.1,120,21
10.625,D,PDC,248,7,16,30,18.78,12.1,120,21
10.625,D,PDC,944,7,16,30,18.78,12.1,120,21
10.625,D,PDC,762,7,16,30,18.78,12.1,120,21
10.625,D,PDC,318,7,16,30,13.09,12.15,124,19
10.625,A,PDC,4,7,16,20,17,12.15,90,16
8.5,A,PDC,66,7,13,25,5.74,8.4,130,16
8.5,B,Impregnated,363,12,8,21,3.49,9.4,185,19
8.5,D,PDC,237,7,16,20,5.31,9.4,127,24
8.5,C,PDC,90,7,16,20,5.31,9.4,127,24
8.5,C,PDC,109,7,16,24,3.6,9.4,140,24
8.5,C,PDC,112,8,13,26,3,9.4,130,22
8.5,D,PDC,324,8,13,30,3.2,9.4,140,19
8.5,D,PDC,189,8,13,40,2.5,9.4,145,18
8.5,A,Tricone,90,3,0,40,8.3,9.4,110,25
8.5,D,Tricone,707,3,0,40,8.3,9.4,110,25
8.5,D,PDC,194,8,13,35,4.5,9.4,120,20
8.5,B,PDC,392,8,13,35,4.5,9.4,120,20
8.5,C,PDC,30,8,13,24,12.9,9.4,120,17
8.5,C,PDC,123,8,13,24,12.9,9.4,120,17
36,D,Tricone,85,3,0,15,13,8.5,60,5
26,D,PDC,334,6,19,35,29.4,8.5,115,16
26,A,PDC,1007,6,19,35,29.4,8.5,115,16
26,A,PDC,939,6,19,35,29.4,8.5,115,16
18.5,D,PDC,240,8,19,35,30.9,9.1,120,20
18.5,D,PDC,1807,8,19,35,30.9,9.1,120,20
18.5,D,PDC,58,8,19,28,45.5,9.1,150,16
18.5,D,PDC,573,8,19,28,45.5,9.1,150,16
18.5,D,PDC,342,8,19,28,45.5,9.1,150,16
18.5,D,PDC,202,8,19,28,45.5,9.1,150,16
18.5,D,PDC,98,8,19,28,45.5,9.1,150,16
14.75,D,PDC,880,6,19,50,18.4,10.1,180,18
14.75,D,PDC,641,8,19,55,16.1,10.7,175,20
14.75,D,PDC,209,8,19,55,16.1,10.7,175,20
14.75,D,PDC,206,8,19,55,16.1,10.7,175,20
14.75,D,PDC,553,8,19,55,7.5,11.8,180,11
14.75,A,PDC,175,8,19,55,7.5,11.8,180,11
14.75,A,Hybrid,286,3,16,70,10.9,12,140,12
14.75,A,Hybrid,265,3,16,70,10.9,12,140,12
14.75,D,Hybrid,103,3,16,70,10.9,12,140,12
14.75,D,PDC,858,6,16,65,5.9,12,160,12.5
14.75,C,Hybrid,788,3,16,70,8,12.1,120,13
14.75,C,PDC,387,6,16,55,5.7,12.8,160,16
14.75,C,PDC,349,6,16,55,5.7,12.8,160,16
14.75,D,PDC,329,8,19,47,13.4,12.8,150,18
14.75,C,PDC,741,8,19,47,13.4,12.8,150,18
10.625,D,Tricone,15,3,0,45,3.9,13.3,100,9
10.625,D,PDC,220,7,16,40,15.9,13.6,145,16
10.625,D,PDC,1125,7,16,40,15.9,13.6,145,16
10.625,D,PDC,363,7,16,40,15.9,13.6,145,16
10.625,D,PDC,52,7,16,40,15.9,13.6,145,16
10.625,D,PDC,63,7,16,40,15.9,13.6,145,16
10.625,D,PDC,43,7,16,25,5.4,13.6,135,12
8.5,D,PDC,93,8,13,33,5,8.4,140,12
8.5,D,PDC,44,8,13,33,5,8.4,140,12
8.5,D,PDC,114,8,13,33,5,8.4,140,12
8.5,D,PDC,1568,7,16,40,44.4,9.5,155,14
8.5,D,PDC,160,7,16,40,15.2,10.9,135,13
8.5,D,PDC,311,7,16,40,15.2,10.9,135,13
8.5,D,PDC,129,7,16,40,15.2,10.9,135,13
8.5,D,PDC,802,6,16,32,21.5,11,135,13
8.5,D,PDC,3,6,16,32,21.5,11,135,13
8.5,D,PDC,0,7,16,30,0,11.1,130,13
6,D,PDC,196,6,13,20,3.1,8.3,202,13
6,D,PDC,55,6,13,11,2.1,8.4,195,13
6,D,PDC,224,6,13,11,4.1,8.3,130,13
6,D,PDC,19,6,13,11,4.1,8.3,130,13
6,D,PDC,546,6,13,18,6.3,9.8,150,13
6,D,PDC,24,6,13,18,6.3,9.8,150,13
6,D,PDC,207,6,13,11,2.9,9.8,130,13
6,D,PDC,39,6,13,11,4.9,9.8,130,13
6,D,PDC,110,6,13,20,2.6,9.8,150,12
6,D,PDC,87,6,13,20,2.6,9.8,150,12
6,D,PDC,48,6,13,15,3.7,9.8,145,11
6,D,PDC,35,6,13,15,3.7,9.8,145,11
6,D,PDC,140,6,13,15,3.7,9.8,145,11
6,D,PDC,122,6,13,16,6.7,9.8,150,13
6,D,PDC,155,6,13,16,6.7,9.8,150,13
6,D,PDC,190,6,13,16,6.7,9.8,150,13
6,D,PDC,8,6,13,12,3.5,9.9,140,12
6,D,PDC,22,6,13,20,2.6,10,140,13
6,D,PDC,156,6,13,20,2.6,10,140,13
6,D,PDC,226,6,13,22,3.1,10,150,11
6,D,PDC,43,6,16,17,6.9,10,140,11
18.5,D,PDC,1530,8,19,55,60.19,9.7,160,15
18.5,D,PDC,2593,8,19,55,60.19,9.7,160,15
14.75,D,PDC,2295,9,19,50,55.8,10.8,150,15
14.75,D,PDC,630,9,19,50,55.8,10.8,150,15
14.75,D,PDC,431,9,19,35,29.1,12.2,145,14
14.75,C,PDC,251,9,19,45,40.4,12.4,145,16
14.75,C,PDC,1025,9,19,45,40.4,12.4,145,16
10.625,C,PDC,77,8,13,46,4.26,12.9,110,10
10.625,A,Tricone,262,3,0,40,14.07,8.4,100,11
10.625,A,Tricone,140,3,0,35,8.14,8.4,115,8.5
10.625,C,PDC,174,9,13,45,4.41,8.4,120,10
10.625,C,Tricone,51,3,0,40,6.1,8.4,115,10
10.625,C,Tricone,10,3,0,40,6.1,8.4,115,10
10.625,C,PDC,313,7,16,35,7.6,9.5,130,8
10.625,C,PDC,744,7,16,35,15.1,9.5,130,12
10.625,C,PDC,19,7,16,35,15.1,9.5,130,12
8.5,C,PDC,284,7,16,35,4.6,9.7,120,10
8.5,C,PDC,341,7,16,35,4.3,8.2,140,9
8.5,B,PDC,196,8,13,30,4.1,8.2,125,7
8.5,C,PDC,8,8,13,30,4.1,8.2,125,7
8.5,C,PDC,246,7,16,35,5.5,8.2,125,7
8.5,D,PDC,219,7,13,30,6.1,8.2,120,8
8.5,B,PDC,97,8,13,45,2.5,8.2,115,9
8.5,B,PDC,198,8,13,35,4,8.3,130,9
8.5,A,PDC,56,8,13,30,5,8.4,135,8.5
8.5,B,PDC,99,8,13,30,5,8.4,135,8.5
